HOU Texans,4,8,0.125,DraftKings,0.08666,-0.30672
HOU Texans,5,6.5,0.15384615384615385,FanDuel,0.14184,-0.07804000000000011
HOU Texans,6,6.5,0.15384615384615385,FanDuel,0.17892,0.1629799999999999
HOU Texans,7,7,0.14285714285714285,FanDuel,0.1841,0.28870000000000007
HOU Texans,8,8,0.125,DraftKings,0.15205,0.21639999999999993
HOU Texans,9,11,0.09090909090909091,FanDuel,0.10474,0.15214000000000016
HOU Texans,10,15,0.06666666666666667,FanDuel,0.05773,-0.1340500000000001
HOU Texans,11,23,0.043478260869565216,DraftKings,0.02461,-0.43396999999999997
HOU Texans,12,36,0.027777777777777776,DraftKings,0.00873,-0.68572
HOU Texans,13,71,0.014084507042253521,FanDuel,0.00244,-0.82676
HOU Texans,14,151,0.006622516556291391,DraftKings,0.00051,-0.92299
HOU Texans,15,401,0.0024937655860349127,DraftKings,0.00007,-0.97193
HOU Texans,16,501,0.001996007984031936,DraftKings,0.00001,-0.99499
BAL Ravens,0,301,0.0033222591362126247,FanDuel,0,-1
BAL Ravens,1,301,0.0033222591362126247,FanDuel,0.00003,-0.99097
BAL Ravens,2,181,0.0055248618784530384,FanDuel,0.00015,-0.97285
BAL Ravens,3,91,0.01098901098901099,DraftKings,0.0009,-0.9181
BAL Ravens,4,51,0.0196078431372549,DraftKings,0.00459,-0.76591
BAL Ravens,5,28,0.03571428571428571,FanDuel,0.01491,-0.58252
BAL Ravens,6,17,0.058823529411764705,FanDuel,0.03917,-0.3341099999999999
BAL Ravens,7,11,0.09090909090909091,DraftKings,0.08253,-0.09216999999999997
BAL Ravens,8,8.5,0.11764705882352941,DraftKings,0.13195,0.1215750000000001
BAL Ravens,9,7.5,0.13333333333333333,FanDuel,0.17938,0.34535000000000016
BAL Ravens,10,6,0.16666666666666666,DraftKings,0.18904,0.13424000000000003
BAL Ravens,11,6.5,0.15384615384615385,DraftKings,0.16214,0.05391000000000001
BAL Ravens,12,7,0.14285714285714285,DraftKings,0.11021,-0.22853
BAL Ravens,13,8.5,0.11764705882352941,DraftKings,0.05567,-0.526805
BAL Ravens,14,12,0.08333333333333333,DraftKings,0.02235,-0.7318
BAL Ravens,15,23,0.043478260869565216,DraftKings,0.0059,-0.8643
BAL Ravens,16,51,0.0196078431372549,DraftKings,0.00101,-0.94849
TB Buccaneers,0,91,0.01098901098901099,FanDuel,0.00024,-0.97816
TB Buccaneers,1,31,0.03225806451612903,DraftKings,0.00268,-0.91692
TB Buccaneers,2,17,0.058823529411764705,DraftKings,0.01244,-0.78852
TB Buccaneers,3,9.5,0.10526315789473684,DraftKings,0.03614,-0.6566700000000001
TB Buccaneers,4,7,0.14285714285714285,DraftKings,0.0815,-0.4295
TB Buccaneers,5,6.5,0.15384615384615385,DraftKings,0.13017,-0.153895
TB Buccaneers,6,6.5,0.15384615384615385,FanDuel,0.17583,0.14289499999999988
TB Buccaneers,7,7,0.14285714285714285,FanDuel,0.18458,0.29206
TB Buccaneers,8,8,0.125,DraftKings,0.15895,0.2716000000000002
TB Buccaneers,9,11,0.09090909090909091,FanDuel,0.11013,0.21143000000000023
TB Buccaneers,10,16,0.0625,FanDuel,0.06377,0.020319999999999894
TB Buccaneers,11,22,0.045454545454545456,FanDuel,0.02888,-0.36463999999999996
TB Buccaneers,12,39,0.02564102564102564,FanDuel,0.01084,-0.57724
TB Buccaneers,13,61,0.01639344262295082,DraftKings,0.0031,-0.8109
TB Buccaneers,14,151,0.006622516556291391,DraftKings,0.00065,-0.9018499999999999
